Token,POS,IsNumeric,Label,DocID,PrevToken,NextToken
Visa,NNP,False,B-EARNINGS,447,,beat
with,DT,False,O,486,,
by,IN,False,I-STOCK,726,increased,$5.2 billion
to,IN,False,I-ACQUISITION,978,talks,acquire
of,IN,False,I-EARNINGS,160,revenue,$5.2 billion
for,DT,False,O,903,,
Salesforce,NNP,False,B-STOCK,591,,stock
shares,IN,False,I-STOCK,836,Visa,declined
PayPal,NNP,False,B-EARNINGS,63,,reported
the,IN,False,I-MERGER,393,approved,merger
completed,IN,False,I-ACQUISITION,496,Citigroup,the
released,IN,False,I-EARNINGS,185,Google,its
is,IN,False,I-ACQUISITION,94,Morgan Stanley,in
by,DT,False,O,436,,
Microsoft,NNP,False,B-ACQUISITION,150,,is
$980 million,CD,True,I-EARNINGS,965,of,
or,DT,False,O,652,,
$5.2 billion,CD,True,I-STOCK,621,dropped,
acquisition,IN,False,I-ACQUISITION,230,the,of
Tesla,NNP,False,B-EARNINGS,302,,beat
or,DT,False,O,261,,
by,IN,False,I-STOCK,16,increased,$450 million
confirmed,IN,False,I-MERGER,673,Google,ongoing
plans,IN,False,I-ACQUISITION,55,announced,to
$750 million,CD,True,I-EARNINGS,414,with,
for,DT,False,O,613,,
$3.1 billion,CD,True,I-EARNINGS,159,of,
in,DT,False,O,596,,
Adobe,NNP,False,B-STOCK,996,,stock
the,DT,False,O,726,,
increased,IN,False,I-STOCK,691,price,by
and,DT,False,O,435,,
on,DT,False,O,170,,
by,IN,False,I-EARNINGS,833,estimates,$980 million
Oracle,NNP,False,B-MERGER,746,,announced
Google,NNP,False,B-MERGER,798,,approved
in,DT,False,O,149,,
in,DT,False,O,729,,
acquire,IN,False,I-ACQUISITION,697,to,Microsoft
at,DT,False,O,255,,
Q4,IN,False,I-EARNINGS,273,its,earnings
plans,IN,False,I-ACQUISITION,267,announced,to
on,DT,False,O,795,,
completed,IN,False,I-ACQUISITION,333,Tesla,the
Goldman Sachs,NNP,False,B-STOCK,627,,stock
with,DT,False,O,829,,
its,IN,False,I-MERGER,333,completed,merger
the,DT,False,O,226,,
of,IN,False,I-ACQUISITION,196,acquisition,Amazon
the,IN,False,I-ACQUISITION,140,completed,acquisition
Google,NNP,False,I-ACQUISITION,711,of,
Amazon,NNP,False,I-MERGER,520,with,
the,DT,False,O,695,,
revenue,IN,False,I-EARNINGS,636,annual,of
stock,IN,False,I-STOCK,503,Visa,surged
completed,IN,False,I-MERGER,401,Amazon,its
Intel,NNP,False,I-ACQUISITION,496,of,
PayPal,NNP,False,B-EARNINGS,222,,released
Tesla,NNP,False,B-STOCK,359,,stock
price,IN,False,I-STOCK,276,stock,increased
is,IN,False,I-MERGER,174,JPMorgan,in
JPMorgan,NNP,False,B-MERGER,721,,announced
estimates,IN,False,I-EARNINGS,671,earnings,by
stock,IN,False,I-STOCK,745,Citigroup,price
Morgan Stanley,NNP,False,B-EARNINGS,778,,beat
Goldman Sachs,NNP,False,B-STOCK,313,,stock
completed,IN,False,I-ACQUISITION,405,Salesforce,the
Adobe,NNP,False,I-ACQUISITION,753,acquire,
$5.2 billion,CD,True,I-EARNINGS,37,of,
earnings,IN,False,I-EARNINGS,509,beat,expectations
Bank of America,NNP,False,I-MERGER,674,with,
with,IN,False,I-MERGER,298,negotiations,Netflix
or,DT,False,O,924,,
at,DT,False,O,430,,
Microsoft,NNP,False,B-STOCK,743,,stock
price,IN,False,I-STOCK,847,stock,fell
IBM,NNP,False,I-MERGER,981,with,
in,DT,False,O,670,,
earnings,IN,False,I-EARNINGS,664,beat,expectations
negotiations,IN,False,I-MERGER,298,merger,with
acquire,IN,False,I-ACQUISITION,823,to,Apple
its,IN,False,I-EARNINGS,720,released,Q4
merger,IN,False,I-MERGER,866,a,with
merger,IN,False,I-MERGER,218,ongoing,negotiations
with,DT,False,O,349,,
IBM,NNP,False,I-MERGER,400,with,
acquire,IN,False,I-ACQUISITION,492,to,Intel
Apple,NNP,False,I-MERGER,680,with,
completed,IN,False,I-MERGER,166,Apple,its
is,IN,False,I-MERGER,634,Apple,in
between,IN,False,I-MERGER,181,merger,Google
Amazon,NNP,False,B-MERGER,44,,completed
between,IN,False,I-MERGER,924,merger,Amazon
on,DT,False,O,247,,
Bank of America,NNP,False,I-ACQUISITION,829,acquired,
PayPal,NNP,False,I-ACQUISITION,525,acquire,
Google,NNP,False,I-ACQUISITION,108,acquire,
announced,VBD,False,I-ACQUISITION,723,Visa,plans
announced,VBD,False,I-ACQUISITION,922,Salesforce,plans
ongoing,IN,False,I-MERGER,219,confirmed,merger
with,IN,False,I-MERGER,113,merger,Google
announced,VBD,False,I-MERGER,741,Salesforce,a
its,IN,False,I-MERGER,438,completed,merger
and,DT,False,O,402,,
Tesla,NNP,False,B-EARNINGS,84,,released
price,IN,False,I-STOCK,552,stock,fell
at,DT,False,O,974,,
Goldman Sachs,NNP,False,I-MERGER,573,with,
Visa,NNP,False,B-ACQUISITION,327,,successfully
in,DT,False,O,115,,
by,IN,False,I-EARNINGS,415,estimates,$3.1 billion
its,IN,False,I-MERGER,995,completed,merger
showing,IN,False,I-EARNINGS,164,earnings,$450 million
acquire,IN,False,I-ACQUISITION,737,to,Amazon
$450 million,CD,True,I-EARNINGS,485,with,
the,DT,False,O,120,,
missed,IN,False,I-EARNINGS,877,IBM,earnings
the,IN,False,I-MERGER,953,approved,merger
with,DT,False,O,931,,
stock,IN,False,I-STOCK,364,JPMorgan,price
between,IN,False,I-MERGER,895,merger,Oracle
stock,IN,False,I-STOCK,556,Facebook,surged
Google,NNP,False,I-MERGER,976,between,
Tesla,NNP,False,B-MERGER,152,,is
and,DT,False,O,815,,
shares,IN,False,I-STOCK,130,Tesla,declined
estimates,IN,False,I-EARNINGS,383,earnings,by
by,DT,False,O,14,,
a,IN,False,I-MERGER,172,announced,merger
successfully,IN,False,I-ACQUISITION,656,Bank of America,purchased
